variant,library_family,corner,size_bytes,relative_path,selected_target
sky130A,,gpiov2_pad_ff_ff_100C_1v95_5v50,289577,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ff_100C_1v95_5v50.lib,no
sky130A,,gpiov2_pad_ff_ff_n40C_1v95_5v50,627561,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ff_n40C_1v95_5v50.lib,no
sky130A,,gpiov2_pad_ff_ff_n40C_1v95_5v50_nointpwr,569757,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ff_n40C_1v95_5v50_nointpwr.lib,no
sky130A,,gpiov2_pad_ff_ss_100C_1v65_1v65,296064,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ss_100C_1v65_1v65.lib,no
sky130A,,gpiov2_pad_ff_ss_100C_1v95_1v65,299782,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ss_100C_1v95_1v65.lib,no
sky130A,,gpiov2_pad_ff_ss_100C_1v95_1v95,295117,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ss_100C_1v95_1v95.lib,no
sky130A,,gpiov2_pad_ff_ss_n40C_1v65_1v65,296094,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ss_n40C_1v65_1v65.lib,no
sky130A,,gpiov2_pad_ff_ss_n40C_1v95_1v65,299943,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ss_n40C_1v95_1v65.lib,no
sky130A,,gpiov2_pad_ff_ss_n40C_1v95_1v95,295085,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ff_ss_n40C_1v95_1v95.lib,no
sky130A,,gpiov2_pad_ss_ff_100C_1v40_5v50,290348,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ff_100C_1v40_5v50.lib,no
sky130A,,gpiov2_pad_ss_ff_100C_1v60_5v50,290053,ciel/sky130/versions/d815bb30c9afdf9e264c276a8a2b533108dea3d0/sky130A/libs.ref/sky130_fd_io/lib/sky130_ef_io__gpiov2_pad_ss_ff_100C_1v60_5v50.lib,no
